Trial,Participant,Run,Trial_Type,Value1,Value2,Side_First_Cue,Chose_to_reveal,Choice,NumMoves,Left,Rank1,Rank2,Correct,Value3,Value4,Rank3,Rank4,Values
158,25,4,Attribute,90,10,1,[],1,0,1,5,1,1,,,,,"[90.0, 10.0, 0.5, 0.7]"
159,25,4,Attribute,30,50,2,[],1,0,1,2,3,1,,,,,"[0.5, 0.7, 50.0, 30.0]"
160,25,4,Option,50,0.3,1,[],2,0,0,3,2,0,,,,,"[0.3, 0.9, 50.0, 10.0]"
161,25,5,Attribute,70,70,2,[ 4.  3.],1,2,1,4,4,1,0.5,0.7,0,1,"[70.0, 70.0, 0.7, 0.5]"
162,25,5,Option,0.7,50,1,[],1,0,1,4,3,1,,,,,"[0.7, 0.1, 50.0, 50.0]"
163,25,5,Attribute,0.5,0.7,2,[ 3.],2,1,0,3,4,0,10,,-2,,"[0.7, 0.5, 10.0, 10.0]"
164,25,5,Option,0.1,90,1,[],2,0,0,1,5,0,,,,,"[90.0, 70.0, 0.1, 0.1]"
165,25,5,Option,70,0.3,1,[ 4.],2,1,0,4,2,1,90,,2,,"[0.3, 0.5, 70.0, 90.0]"
166,25,5,Attribute,30,50,2,[ 4.],1,1,1,2,3,1,0.5,,0,,"[50.0, 30.0, 0.9, 0.5]"
167,25,5,Attribute,50,10,1,[],1,0,1,3,1,1,,,,,"[0.9, 0.7, 50.0, 10.0]"
168,25,5,Option,0.5,90,2,[],2,0,0,3,5,1,,,,,"[30.0, 90.0, 0.9, 0.5]"
169,25,5,Option,50,0.5,2,[ 1.],2,1,0,3,3,1,30,,-1,,"[30.0, 50.0, 0.7, 0.5]"
170,25,5,Option,30,0.7,1,[ 4.],2,1,0,2,4,1,50,,0,,"[0.7, 0.7, 30.0, 50.0]"
171,25,5,Attribute,90,10,2,[],2,0,0,5,1,1,,,,,"[0.3, 0.9, 10.0, 90.0]"
172,25,5,Attribute,0.3,0.1,2,[],2,0,0,2,1,1,,,,,"[10.0, 90.0, 0.1, 0.3]"
173,25,5,Attribute,0.3,0.3,1,[ 2.  1.],1,2,1,2,2,1,50,70,0,1,"[70.0, 50.0, 0.3, 0.3]"
174,25,5,Attribute,10,30,1,[],2,0,0,1,2,1,,,,,"[0.9, 0.9, 10.0, 30.0]"
175,25,5,Option,90,0.3,2,[ 1.],2,1,0,5,2,1,10,,-2,,"[10.0, 90.0, 0.9, 0.3]"
176,25,5,Option,0.9,70,2,[],2,0,0,5,4,1,,,,,"[30.0, 70.0, 0.3, 0.9]"
177,25,5,Option,0.5,30,1,[ 4.],2,1,0,3,2,1,0.5,,0,,"[30.0, 90.0, 0.5, 0.5]"
178,25,5,Attribute,50,90,2,[],1,0,1,3,5,1,,,,,"[0.5, 0.5, 90.0, 50.0]"
179,25,5,Option,0.3,10,2,[],1,0,1,2,1,1,,,,,"[0.9, 0.3, 50.0, 10.0]"
180,25,5,Attribute,10,70,2,[],1,0,1,1,4,1,,,,,"[0.7, 0.7, 70.0, 10.0]"
181,25,5,Option,0.9,30,1,[],1,0,1,5,2,1,,,,,"[30.0, 90.0, 0.9, 0.1]"
182,25,5,Option,50,0.1,1,[],2,0,0,3,1,1,,,,,"[50.0, 30.0, 0.1, 0.5]"
183,25,5,Option,30,0.9,2,[ 1.],2,1,0,2,5,1,0.1,,-2,,"[0.1, 0.9, 50.0, 30.0]"
184,25,5,Option,10,0.5,1,[],2,0,0,1,3,1,,,,,"[10.0, 90.0, 0.5, 0.3]"
185,25,5,Attribute,90,30,1,[],1,0,1,5,2,1,,,,,"[0.3, 0.3, 90.0, 30.0]"
186,25,5,Attribute,0.9,0.1,1,[],1,0,1,5,1,1,,,,,"[0.9, 0.1, 10.0, 50.0]"
187,25,5,Option,70,0.9,2,[],2,0,0,4,5,1,,,,,"[0.1, 0.9, 10.0, 70.0]"
188,25,5,Option,0.3,10,1,[],2,0,0,2,1,1,,,,,"[0.3, 0.5, 10.0, 70.0]"
189,25,5,Attribute,0.1,0.7,2,[],1,0,1,1,4,1,,,,,"[0.7, 0.1, 90.0, 30.0]"
190,25,5,Attribute,0.7,0.9,2,[ 2.  1.],1,2,1,4,5,1,30,70,-1,1,"[70.0, 30.0, 0.9, 0.7]"
191,25,5,Attribute,0.7,0.9,1,[ 2.  1.],2,2,0,4,5,1,30,30,-1,-1,"[30.0, 30.0, 0.7, 0.9]"
192,25,5,Option,90,0.7,1,[],1,0,1,5,4,1,,,,,"[90.0, 50.0, 0.7, 0.5]"
193,25,5,Option,0.1,50,2,[],1,0,1,1,3,1,,,,,"[30.0, 50.0, 0.5, 0.1]"
194,25,5,Attribute,0.5,0.3,1,[ 4.],1,1,1,3,2,1,10,,-2,,"[0.5, 0.3, 90.0, 10.0]"
195,25,5,Attribute,0.9,0.5,2,[],2,0,0,5,3,1,,,,,"[0.5, 0.9, 30.0, 30.0]"
196,25,5,Option,0.7,70,2,[],2,0,0,4,4,1,,,,,"[0.1, 0.7, 90.0, 70.0]"
197,25,5,Option,10,0.1,2,[],1,0,1,1,1,1,,,,,"[30.0, 10.0, 0.5, 0.1]"
198,25,5,Attribute,30,50,1,[ 4.],1,1,1,2,3,1,0.3,,-1,,"[30.0, 50.0, 0.7, 0.3]"
199,25,5,Attribute,70,90,1,[],2,0,0,4,5,0,,,,,"[70.0, 90.0, 0.5, 0.1]"
200,25,5,Attribute,0.1,0.5,1,[],2,0,0,1,3,1,,,,,"[0.1, 0.5, 50.0, 10.0]"
1,26,1,Option,10,0.7,1,[ 2.],2,1,0,1,4,1,50,,0,,"[10.0, 50.0, 0.7, 0.5]"
2,26,1,Option,0.9,50,1,[],1,0,1,5,3,0,,,,,"[50.0, 90.0, 0.9, 0.9]"
3,26,1,Option,30,0.5,2,[],1,0,1,2,3,1,,,,,"[0.5, 0.5, 70.0, 30.0]"
4,26,1,Attribute,0.7,0.7,1,[ 1.],2,1,0,4,4,1,50,,0,,"[50.0, 70.0, 0.7, 0.7]"
5,26,1,Attribute,0.5,0.9,2,[],1,0,1,3,5,1,,,,,"[0.9, 0.5, 50.0, 70.0]"
6,26,1,Option,50,0.5,1,[],2,0,0,3,3,1,,,,,"[50.0, 70.0, 0.5, 0.7]"
7,26,1,Option,90,0.9,1,[],1,0,1,5,5,1,,,,,"[90.0, 10.0, 0.9, 0.9]"
8,26,1,Option,0.5,30,1,[ 2.],1,1,1,3,2,1,10,,-2,,"[30.0, 10.0, 0.5, 0.3]"
9,26,1,Attribute,0.3,0.5,2,[ 2.],1,1,1,2,3,1,90,,2,,"[70.0, 90.0, 0.5, 0.3]"
10,26,1,Attribute,0.1,0.1,1,[ 3.],1,1,1,1,1,0,70,,1,,"[0.1, 0.1, 70.0, 90.0]"
11,26,1,Option,0.1,10,2,[],1,0,1,1,1,1,,,,,"[70.0, 10.0, 0.1, 0.1]"
12,26,1,Option,0.3,90,1,[],2,0,0,2,5,1,,,,,"[0.3, 0.9, 90.0, 70.0]"
13,26,1,Option,0.3,30,2,[],1,0,1,2,2,1,,,,,"[0.5, 0.3, 90.0, 30.0]"
14,26,1,Attribute,0.1,0.7,2,[],1,0,1,1,4,1,,,,,"[0.7, 0.1, 70.0, 70.0]"
15,26,1,Option,0.5,10,2,[],1,0,1,3,1,1,,,,,"[90.0, 10.0, 0.1, 0.5]"
16,26,1,Attribute,0.7,0.3,2,[],2,0,0,4,2,1,,,,,"[30.0, 50.0, 0.3, 0.7]"
17,26,1,Option,70,0.3,1,[ 2.],1,1,1,4,2,1,0.5,,0,,"[0.3, 0.5, 70.0, 10.0]"
18,26,1,Attribute,50,70,1,[],2,0,0,3,4,1,,,,,"[0.3, 0.5, 50.0, 70.0]"
19,26,1,Attribute,70,70,2,[ 4.],1,1,1,4,4,1,0.5,,0,,"[70.0, 70.0, 0.7, 0.5]"
20,26,1,Attribute,10,10,2,[ 2.],1,1,1,1,1,1,0.5,,0,,"[0.7, 0.5, 10.0, 10.0]"
21,26,1,Option,30,0.9,1,[ 4.],1,1,1,2,5,1,30,,-1,,"[0.9, 0.7, 30.0, 30.0]"
22,26,1,Option,50,0.1,2,[],1,0,1,3,1,1,,,,,"[90.0, 50.0, 0.9, 0.1]"
23,26,1,Option,0.7,90,1,[],1,0,1,4,5,0,,,,,"[0.7, 0.9, 90.0, 70.0]"
24,26,1,Attribute,50,30,2,[],2,0,0,3,2,1,,,,,"[0.1, 0.7, 30.0, 50.0]"
25,26,1,Option,70,0.7,2,[],2,0,0,4,4,1,,,,,"[0.1, 0.7, 50.0, 70.0]"
26,26,1,Attribute,30,90,1,[],2,0,0,2,5,1,,,,,"[30.0, 90.0, 0.7, 0.5]"
27,26,1,Attribute,0.5,0.1,1,[],1,0,1,3,1,1,,,,,"[0.5, 0.1, 10.0, 30.0]"
28,26,1,Attribute,0.9,0.5,1,[],1,0,1,5,3,1,,,,,"[0.9, 0.5, 50.0, 30.0]"
29,26,1,Option,0.7,70,2,[],2,0,0,4,4,1,,,,,"[0.3, 0.7, 90.0, 70.0]"
30,26,1,Option,10,0.3,2,[],1,0,1,1,2,1,,,,,"[50.0, 10.0, 0.9, 0.3]"
31,26,1,Option,90,0.1,2,[],1,0,1,5,1,1,,,,,"[90.0, 90.0, 0.9, 0.1]"
32,26,1,Attribute,70,50,1,[ 4.],2,1,0,4,3,1,0.7,,1,,"[70.0, 50.0, 0.5, 0.7]"
33,26,1,Option,0.9,50,2,[],2,0,0,5,3,1,,,,,"[30.0, 50.0, 0.9, 0.9]"
34,26,1,Attribute,10,30,1,[],1,0,1,1,2,0,,,,,"[0.5, 0.5, 10.0, 30.0]"
35,26,1,Attribute,90,90,1,[ 2.],1,1,1,5,5,1,0.5,,0,,"[0.9, 0.5, 90.0, 90.0]"
36,26,1,Option,0.1,70,1,[ 2.],1,1,1,1,4,1,10,,-2,,"[70.0, 10.0, 0.1, 0.5]"
37,26,1,Attribute,90,10,2,[ 2.],1,1,1,5,1,0,0.5,,0,,"[0.9, 0.5, 10.0, 90.0]"
38,26,1,Attribute,0.9,0.3,2,[],2,0,0,5,2,1,,,,,"[0.3, 0.9, 70.0, 50.0]"
39,26,1,Attribute,30,50,2,[ 4.],1,1,1,2,3,1,0.5,,0,,"[50.0, 30.0, 0.3, 0.5]"
40,26,1,Attribute,0.3,0.9,1,[],2,0,0,2,5,1,,,,,"[50.0, 30.0, 0.3, 0.9]"
41,26,2,Option,30,0.7,2,[],2,0,0,2,4,1,,,,,"[30.0, 30.0, 0.3, 0.7]"
42,26,2,Option,0.3,70,2,[ 1.],1,1,1,2,4,1,50,,0,,"[50.0, 70.0, 0.9, 0.3]"
43,26,2,Attribute,90,30,2,[],2,0,0,5,2,1,,,,,"[30.0, 90.0, 0.3, 0.5]"
44,26,2,Attribute,70,70,2,[ 1.],1,1,1,4,4,1,0.9,,2,,"[0.9, 0.7, 70.0, 70.0]"
45,26,2,Option,0.5,50,2,[],1,0,1,3,3,0,,,,,"[0.1, 0.5, 10.0, 50.0]"
46,26,2,Attribute,50,30,1,[],1,0,1,3,2,1,,,,,"[50.0, 30.0, 0.5, 0.5]"
47,26,2,Option,90,0.1,2,[ 1.],1,1,1,5,1,1,0.3,,-1,,"[0.3, 0.1, 70.0, 90.0]"
